Date,Open,High,Low,Close,,OpenToHigh%,OpenToLow%,OpenToClose%,OpenToHigh,OpenToLow,OpenToClose
29-Mar-23,39611.55,40055,39609.55,39910.15,,1.119496712,-0.005049032,0.75382054,443.45,-2,298.6
28-Mar-23,39545.05,39645.2,39326.1,39567.9,,0.253255464,-0.553672331,0.0577822,100.15,-218.95,22.85
27-Mar-23,39484.7,39695.2,39273.75,39431.3,,0.533117891,-0.534257573,-0.135242258,210.5,-210.95,-53.4
24-Mar-23,39555.25,39767.9,39294.9,39395.35,,0.537602467,-0.658193287,-0.404244696,212.65,-260.35,-159.9
23-Mar-23,39836.15,40201.6,39552.5,39616.9,,0.917382829,-0.712041701,-0.550379492,365.45,-283.65,-219.25
22-Mar-23,40036,40085.6,39837.8,39999.05,,0.1238885,-0.495054451,-0.092291937,49.6,-198.2,-36.95
21-Mar-23,39599.65,39970.9,39366.3,39894.7,,0.937508286,-0.589272885,0.745082343,371.25,-233.35,295.05
20-Mar-23,39512.1,39512.1,38941.9,39361.95,,0,-1.44310224,-0.380010174,0,-570.2,-150.15
17-Mar-23,39442.4,39705.15,38926.8,39598.1,,0.666161288,-1.307222684,0.394752855,262.75,-515.6,155.7
16-Mar-23,39061.7,39381.4,38613.15,39132.6,,0.818448762,-1.148311517,0.181507717,319.7,-448.55,70.9
15-Mar-23,39777.9,39914.1,38934.65,39051.5,,0.342401183,-2.119895721,-1.82613964,136.2,-843.25,-726.4
14-Mar-23,39522.4,39768.5,39132.6,39411.4,,0.622684857,-0.986276137,-0.280853389,246.1,-389.8,-111
13-Mar-23,40356.1,40690.05,39454.6,39564.7,,0.827508109,-2.233863034,-1.961041825,333.95,-901.5,-791.4
10-Mar-23,40805.25,40839,40341.7,40485.45,,0.082709945,-1.136005784,-0.783722683,33.75,-463.55,-319.8
09-Mar-23,41532.65,41659,41208.1,41256.75,,0.304218488,-0.781433402,-0.664296644,126.35,-324.55,-275.9
08-Mar-23,41178.35,41625.35,41100.35,41577.1,,1.085521882,-0.189419926,0.968348659,447,-78,398.75
06-Mar-23,41418.4,41671.2,41259.15,41350.4,,0.61035675,-0.384490951,-0.16417824,252.8,-159.25,-68
03-Mar-23,40671.4,41390.15,40605.35,41251.35,,1.767212341,-0.162399131,1.425940587,718.75,-66.05,579.95
02-Mar-23,40604.55,40773.25,40312.9,40389.8,,0.41547068,-0.718269258,-0.528881615,168.7,-291.65,-214.75
01-Mar-23,40473.85,40725.35,40341.95,40698.15,,0.621388872,-0.325889432,0.554184986,251.5,-131.9,224.3
28-Feb-23,40302.7,40391.45,40073,40269.05,,0.220208572,-0.569937002,-0.083493165,88.75,-229.7,-33.65
27-Feb-23,39820.4,40371.45,39745.4,40307.1,,1.383838435,-0.188345672,1.222237848,551.05,-75,486.7
24-Feb-23,40259.1,40348.1,39818.9,39909.4,,0.221068032,-1.093417389,-0.868623491,89,-440.2,-349.7
23-Feb-23,39983.7,40147.8,39600.25,40001.55,,0.410417245,-0.959015799,0.044643192,164.1,-383.45,17.85
22-Feb-23,40494.15,40529.25,39899,39995.9,,0.086679187,-1.469718466,-1.230424642,35.1,-595.15,-498.25
21-Feb-23,40784.9,40946.2,40508.25,40673.6,,0.395489507,-0.678314768,-0.272895116,161.3,-276.65,-111.3
20-Feb-23,41221.55,41292.6,40580.1,40701.7,,0.172361301,-1.556103543,-1.26111221,71.05,-641.45,-519.85
17-Feb-23,41514,41516.3,40882.7,41131.75,,0.0055403,-1.520691815,-0.920773715,2.3,-631.3,-382.25
